Associationtype,Boardname,Companyname,Directorname,Overlapyearstart,Overlapyearend,Role,Associatedrole,Conncompanyorgtype,Boardid,Companyid,Directorid,Roletitle,Roleboardposition,Roleedflag,Overlapyearstart_int,Overlapyearend_int,Startcompanydatestartrole,Startcompanydateendrole,Conncompanydatestartrole,Conncompanydateendrole,Orgtype
Listed Org,1-800-FLOWERS.COM INC,BOYDS COLLECTION LTD (De-listed 10/2005),Jim McCann,2001,2005,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,4913,86917,Chairman/CEO,Brd,ED,2001,2005,1976-04-01,1986-01-01,2001-05-17,2005-10-10,Quoted
Other,1-800-FLOWERS.COM INC,NYU Winthrop Hospital (Winthrop University Hospital prior to 04/2017),Jim McCann,2006,2016,Chairman/CEO (Brd) (ED),Overseer,Private,6,734927,86917,Chairman/CEO,Brd,ED,2006,2016,1986-01-01,2016-06-30,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,WILLIS TOWERS WATSON PLC (Willis Group Holdings PLC prior to 01/2016),Jim McCann,2013,2016,Chairman/CEO (Brd) (ED),Independent Chairman (Brd) (SD),Quoted,6,33518,86917,Chairman/CEO,Brd,ED,2013,2016,1986-01-01,2016-06-30,2013-07-08,2019-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Palm Restaurant Group (The),Jim McCann,2009,2010,Chairman/CEO (Brd) (ED),Spokesperson (Non-Brd),Private,6,1519365,86917,Chairman/CEO,Brd,ED,2009,2010,1976-04-01,1986-01-01,2009-09-15,,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL GAME TECHNOLOGY PLC (GTECH SpA prior to 04/2015),Jim McCann,2006,2011,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,19169,86917,Chairman/CEO,Brd,ED,2006,2011,1976-04-01,1986-01-01,2015-04-07,2018-11-19,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL GAME TECHNOLOGY PLC (GTECH SpA prior to 04/2015),Jim McCann,2006,2011,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,19169,86917,Chairman/CEO,Brd,ED,2006,2011,1976-04-01,1986-01-01,2006-08-29,2011-04-28,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Atlas Merchant Capital LLC,Jim McCann,2023,Curr,Chairman (Executive)/CEO (Brd) (ED),Senior Advisor (Non-Brd),Private,6,2024673,86917,Chairman,Executive,ED,2023,,,,2019-01-01,,Quoted
Listed Org,1-800-FLOWERS.COM INC,OFFICEMAX INC (De-listed 12/2003),Jim McCann,1996,2002,Chairman/CEO (Brd) (ED),Director - SD (Brd) (SD),Quoted,6,22968,86917,Chairman/CEO,Brd,ED,1996,2002,1986-01-01,2016-06-30,1996-01-01,2002-05-21,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Boyds Collection Ltd,Jim McCann,2005,2006,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Private,6,1550812,86917,Chairman/CEO,Brd,ED,2005,2006,1976-04-01,1986-01-01,2005-10-10,2006-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Palm Restaurant Group (The),Jim McCann,2009,2010,Chairman/CEO (Brd) (ED),Spokesperson (Non-Brd),Private,6,1519365,86917,Chairman/CEO,Brd,ED,2009,2010,1986-01-01,2016-06-30,2009-09-15,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Compound (Metamorphic Ventures prior to 10/2016),Jim McCann,2016,2023,Chairman (Executive) (Brd) (ED),Advisor (Non-Brd),Private,6,1450834,86917,Chairman,Executive,ED,2016,2023,,,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,GATEWAY INC (De-listed 10/2007),Jim McCann,1996,2004,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,12881,86917,Chairman/CEO,Brd,ED,1996,2004,1976-04-01,1986-01-01,1996-01-01,2004-05-20,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL GAME TECHNOLOGY PLC (GTECH SpA prior to 04/2015),Jim McCann,2023,Curr,Chairman (Executive)/CEO (Brd) (ED),Vice Chairman (Lead Independent Director) (Brd) (SD),Quoted,6,19169,86917,Chairman,Executive,ED,2023,,,,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Compound (Metamorphic Ventures prior to 10/2016),Jim McCann,2023,Curr,Chairman (Executive)/CEO (Brd) (ED),Advisor (Non-Brd),Private,6,1450834,86917,Chairman,Executive,ED,2023,,,,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,WILLIS TOWERS WATSON PLC (Willis Group Holdings PLC prior to 01/2016),Jim McCann,2004,2012,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,33518,86917,Chairman/CEO,Brd,ED,2004,2012,1986-01-01,2016-06-30,2004-04-21,2012-10-17,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Primary Wave Media LLC (RingBoost.com),Jim McCann,2023,Curr,Chairman (Executive)/CEO (Brd) (ED),Director - SD (Brd) (SD),Private,6,3289831,86917,Chairman,Executive,ED,2023,,,,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,WILLIS TOWERS WATSON PLC (Willis Group Holdings PLC prior to 01/2016),Jim McCann,2019,2019,Chairman (Executive) (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,33518,86917,Chairman,Executive,ED,2019,2019,,,2004-04-21,2012-10-17,Quoted
Listed Org,1-800-FLOWERS.COM INC,BOYDS COLLECTION LTD (De-listed 10/2005),Jim McCann,2001,2005,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,4913,86917,Chairman/CEO,Brd,ED,2001,2005,1986-01-01,2016-06-30,2001-05-17,2005-10-10,Quoted
Listed Org,1-800-FLOWERS.COM INC,CLARIM ACQUISITION CORP (CLRM) (De-listed 12/2022),Jim McCann,2021,2022,Chairman (Executive) (Brd) (ED),Chairman/CEO (Brd) (ED),Quoted,6,3337418,86917,Chairman,Executive,ED,2021,2022,,,2021-01-29,2022-12-08,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL GAME TECHNOLOGY PLC (GTECH SpA prior to 04/2015),Jim McCann,2016,2018,Chairman (Executive) (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,19169,86917,Chairman,Executive,ED,2016,2018,,,2015-04-07,2018-11-19,Quoted
NFP,1-800-FLOWERS.COM INC,Dublin City University Educational Trust,Jim McCann,2009,2014,Chairman/CEO (Brd) (ED),Trustee,Charities,6,824162,86917,Chairman/CEO,Brd,ED,2009,2014,1976-04-01,1986-01-01,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,WILLIS TOWERS WATSON PLC (Willis Group Holdings PLC prior to 01/2016),Jim McCann,2012,2013,Chairman/CEO (Brd) (ED),Presiding Independent Director (Brd) (SD),Quoted,6,33518,86917,Chairman/CEO,Brd,ED,2012,2013,1986-01-01,2016-06-30,2012-10-17,2013-07-08,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL GAME TECHNOLOGY PLC (GTECH SpA prior to 04/2015),Jim McCann,2015,2016,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,19169,86917,Chairman/CEO,Brd,ED,2015,2016,1986-01-01,2016-06-30,2015-04-07,2018-11-19,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL GAME TECHNOLOGY PLC (GTECH SpA prior to 04/2015),Jim McCann,2015,2016,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,19169,86917,Chairman/CEO,Brd,ED,2015,2016,1986-01-01,2016-06-30,2006-08-29,2011-04-28,Quoted
Listed Org,1-800-FLOWERS.COM INC,GTECH HOLDINGS CORP (De-listed 08/2006),Jim McCann,2003,2006,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,14042,86917,Chairman/CEO,Brd,ED,2003,2006,1986-01-01,2016-06-30,2003-02-18,2006-08-29,Quoted
Listed Org,1-800-FLOWERS.COM INC,WILLIS TOWERS WATSON PLC (Willis Group Holdings PLC prior to 01/2016),Jim McCann,2004,2012,Chairman/CEO (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,33518,86917,Chairman/CEO,Brd,ED,2004,2012,1976-04-01,1986-01-01,2019-01-01,2019-05-20,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Clarim Acquisition Corp (Listed 01/2021),Jim McCann,2020,2021,Chairman (Executive) (Brd) (ED),Chairman/CEO (Brd) (ED),Private,6,3337417,86917,Chairman,Executive,ED,2020,2021,,,2020-11-04,2021-01-29,Quoted
Listed Org,1-800-FLOWERS.COM INC,OFFICEMAX INC (De-listed 12/2003),Jim McCann,1996,2002,Chairman/CEO (Brd) (ED),Director - SD (Brd) (SD),Quoted,6,22968,86917,Chairman/CEO,Brd,ED,1996,2002,1976-04-01,1986-01-01,1996-01-01,2002-05-21,Quoted
Listed Org,1-800-FLOWERS.COM INC,PETCO ANIMAL SUPPLIES INC (De-listed 10/2006),Jim McCann,1997,2000,Chairman/CEO (Brd) (ED),Director - SD (Brd) (SD),Quoted,6,77826,86917,Chairman/CEO,Brd,ED,1997,2000,1986-01-01,2016-06-30,1997-05-01,2000-10-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Primary Wave Media LLC (RingBoost.com),Jim McCann,2020,2023,Chairman (Executive) (Brd) (ED),Director - SD (Brd) (SD),Private,6,3289831,86917,Chairman,Executive,ED,2020,2023,,,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,INTERNATIONAL GAME TECHNOLOGY PLC (GTECH SpA prior to 04/2015),Jim McCann,2018,2023,Chairman (Executive) (Brd) (ED),Vice Chairman (Lead Independent Director) (Brd) (SD),Quoted,6,19169,86917,Chairman,Executive,ED,2018,2023,,,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,WILLIS TOWERS WATSON PLC (Willis Group Holdings PLC prior to 01/2016),Jim McCann,2019,2019,Chairman (Executive) (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,33518,86917,Chairman,Executive,ED,2019,2019,,,2019-01-01,2019-05-20,Quoted
Listed Org,1-800-FLOWERS.COM INC,QWEST COMMUNICATIONS INTERNATIONAL INC (De-listed 04/2011),Jan Murley,2007,2008,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,25629,37576,Independent Director,Brd,SD,2007,2008,2007-02-08,2008-09-15,2007-12-12,2011-04-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,CLOROX COMPANY (THE),Jan Murley,2007,2008,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,7089,37576,Independent Director,Brd,SD,2007,2008,2007-02-08,2008-09-15,2001-11-28,2011-11-16,Quoted
Listed Org,1-800-FLOWERS.COM INC,QWEST COMMUNICATIONS INTERNATIONAL INC (De-listed 04/2011),Jan Murley,2010,2010,Director - SD (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,25629,37576,Director - SD,Brd,SD,2010,2010,2010-04-23,2010-12-02,2007-12-12,2011-04-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,CLOROX COMPANY (THE),Jan Murley,2010,2010,Director - SD (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,7089,37576,Director - SD,Brd,SD,2010,2010,2010-04-23,2010-12-02,2001-11-28,2011-11-16,Quoted
Listed Org,1-800-FLOWERS.COM INC,CLOROX COMPANY (THE),Jan Murley,2008,2010,Interim Division President (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,7089,37576,Interim Division President,Brd,ED,2008,2010,2008-09-15,2010-04-23,2001-11-28,2011-11-16,Quoted
Listed Org,1-800-FLOWERS.COM INC,QWEST COMMUNICATIONS INTERNATIONAL INC (De-listed 04/2011),Jan Murley,2008,2010,Interim Division President (Brd) (ED),Independent Director (Brd) (SD),Quoted,6,25629,37576,Interim Division President,Brd,ED,2008,2010,2008-09-15,2010-04-23,2007-12-12,2011-04-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,S&P GLOBAL INC (McGraw Hill Financial Inc prior to 04/2016),Doctor Deven Sharma,2006,2007,Independent Director (Brd) (SD),Division Executive VP (Non-Brd),Quoted,6,19953,36503,Independent Director,Brd,SD,2006,2007,2005-05-12,2007-03-16,2006-11-01,2007-08-30,Quoted
Listed Org,1-800-FLOWERS.COM INC,CRISIL LTD,Doctor Deven Sharma,2005,2007,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Quoted,6,804066,36503,Independent Director,Brd,SD,2005,2007,2005-05-12,2007-03-16,2005-07-22,2008-07-24,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Standard & Poor's Financial Services LLC,Doctor Deven Sharma,2006,2007,Independent Director (Brd) (SD),Executive VP - Global Sales (Non-Brd),Private,6,2318913,36503,Independent Director,Brd,SD,2006,2007,2005-05-12,2007-03-16,2006-01-01,2007-08-30,Quoted
Listed Org,1-800-FLOWERS.COM INC,S&P GLOBAL INC (McGraw Hill Financial Inc prior to 04/2016),Doctor Deven Sharma,2005,2006,Independent Director (Brd) (SD),Executive VP - Strategy (Non-Brd),Quoted,6,19953,36503,Independent Director,Brd,SD,2005,2006,2005-05-12,2007-03-16,2002-01-15,2006-10-30,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,MDG Health Alliance,Jeff Walker,2011,2012,Independent Director (Brd) (SD),Vice Chairman (Non-Brd),Private,6,1896745,33553,Independent Director,Brd,SD,2011,2012,1995-02-01,2012-01-12,2011-09-01,2019-01-01,Quoted
Listed Org,1-800-FLOWERS.COM INC,IXL ENTERPRISES (De-listed 11/2001),Jeff Walker,1999,2001,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Quoted,6,17202,33553,Independent Director,Brd,SD,1999,2001,1995-02-01,2012-01-12,1999-07-01,2001-01-01,Quoted
NFP,1-800-FLOWERS.COM INC,Thomas Jefferson Foundation Inc,Jeff Walker,2008,2010,Independent Director (Brd) (SD),Trustee,Charities,6,1092946,33553,Independent Director,Brd,SD,2008,2010,1995-02-01,2012-01-12,,,Quoted
NFP,1-800-FLOWERS.COM INC,Millennium Promise,Jeff Walker,2006,2011,Independent Director (Brd) (SD),Chairman,Charities,6,817385,33553,Independent Director,Brd,SD,2006,2011,1995-02-01,2012-01-12,,,Quoted
Other,1-800-FLOWERS.COM INC,Morgan Library & Museum (Formerly known as Pierpont Morgan Library),Jeff Walker,2003,2012,Independent Director (Brd) (SD),Trustee,Private,6,1055366,33553,Independent Director,Brd,SD,2003,2012,1995-02-01,2012-01-12,,,Quoted
Other,1-800-FLOWERS.COM INC,Berklee College of Music Inc (Berklee),Jeff Walker,2009,2010,Independent Director (Brd) (SD),Trustee,Universities,6,578009,33553,Independent Director,Brd,SD,2009,2010,1995-02-01,2012-01-12,,,Quoted
NFP,1-800-FLOWERS.COM INC,Thomas Jefferson Foundation Inc,Jeff Walker,2002,2004,Independent Director (Brd) (SD),Treasurer,Charities,6,1092946,33553,Independent Director,Brd,SD,2002,2004,1995-02-01,2012-01-12,,,Quoted
Other,1-800-FLOWERS.COM INC,Quincy Jones Musiq Consortium,Jeff Walker,2011,2012,Independent Director (Brd) (SD),Director - SD,Private,6,1723205,33553,Independent Director,Brd,SD,2011,2012,1995-02-01,2012-01-12,,,Quoted
NFP,1-800-FLOWERS.COM INC,Thomas Jefferson Foundation Inc,Jeff Walker,2004,2005,Independent Director (Brd) (SD),Vice Chairman/Treasurer,Charities,6,1092946,33553,Independent Director,Brd,SD,2004,2005,1995-02-01,2012-01-12,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,JP Morgan Chase Trust Foundation,Jeff Walker,2003,2005,Independent Director (Brd) (SD),Chairman (Brd) (SD),Private,6,749089,33553,Independent Director,Brd,SD,2003,2005,1995-02-01,2012-01-12,2003-09-01,2005-01-01,Quoted
Other,1-800-FLOWERS.COM INC,University of Virginia,Jeff Walker,2011,2012,Independent Director (Brd) (SD),Chairman,Universities,6,62777,33553,Independent Director,Brd,SD,2011,2012,1995-02-01,2012-01-12,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Harvard Business School Harvard University,Jeff Walker,2009,2011,Independent Director (Brd) (SD),Executive (Non-Brd),Universities,6,63013,33553,Independent Director,Brd,SD,2009,2011,1995-02-01,2012-01-12,2009-09-01,2011-06-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Doane Pet Care Enterprises Inc,Jeff Walker,1996,2005,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,6,420184,33553,Independent Director,Brd,SD,1996,2005,1995-02-01,2012-01-12,1996-04-01,2005-01-01,Quoted
NFP,1-800-FLOWERS.COM INC,IDEO.org,Jeff Walker,2011,2012,Independent Director (Brd) (SD),Advisory Board Member,Charities,6,2007255,33553,Independent Director,Brd,SD,2011,2012,1995-02-01,2012-01-12,,,Quoted
Other,1-800-FLOWERS.COM INC,Big Apple Circus,Jeff Walker,2011,2012,Independent Director (Brd) (SD),Director Emeritus,Clubs,6,54820,33553,Independent Director,Brd,SD,2011,2012,1995-02-01,2012-01-12,,,Quoted
Other,1-800-FLOWERS.COM INC,Film Society of Lincoln Center,Jeff Walker,2002,2003,Independent Director (Brd) (SD),Director - SD,Private,6,917302,33553,Independent Director,Brd,SD,2002,2003,1995-02-01,2012-01-12,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,JPMORGAN CHASE & CO,Jeff Walker,2000,2001,Independent Director (Brd) (SD),Head of Division (Non-Brd),Quoted,6,17528,33553,Independent Director,Brd,SD,2000,2001,1995-02-01,2012-01-12,2000-12-31,,Quoted
NFP,1-800-FLOWERS.COM INC,Thomas Jefferson Foundation Inc,Jeff Walker,2005,2008,Independent Director (Brd) (SD),Chairman,Charities,6,1092946,33553,Independent Director,Brd,SD,2005,2008,1995-02-01,2012-01-12,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,AXIS CAPITAL HOLDINGS LTD,Jeff Walker,2001,2005,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,267242,33553,Independent Director,Brd,SD,2001,2005,1995-02-01,2012-01-12,2001-11-01,2005-08-09,Quoted
Other,1-800-FLOWERS.COM INC,Miller Center Foundation University of Virginia,Jeff Walker,2010,2012,Independent Director (Brd) (SD),Council Member,Universities,6,1819548,33553,Independent Director,Brd,SD,2010,2012,1995-02-01,2012-01-12,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,GUITAR CENTER INC (Guitar Center Management Co Inc prior to 08/1996) (De-listed 10/2007),Jeff Walker,1996,2003,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Quoted,6,14092,33553,Independent Director,Brd,SD,1996,2003,1995-02-01,2012-01-12,1996-01-01,2003-10-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Doane Pet Care Co,Jeff Walker,1996,2005,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,6,420183,33553,Independent Director,Brd,SD,1996,2005,1995-02-01,2012-01-12,1996-04-01,2005-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Pliant.io Inc,Jeff Walker,2004,2006,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,6,24639,33553,Independent Director,Brd,SD,2004,2006,1995-02-01,2012-01-12,2004-07-01,2006-07-18,Quoted
Other,1-800-FLOWERS.COM INC,Harvard Business School Harvard University,Jeff Walker,2009,2012,Independent Director (Brd) (SD),Advisory Board Member,Universities,6,63013,33553,Independent Director,Brd,SD,2009,2012,1995-02-01,2012-01-12,,,Quoted
NFP,1-800-FLOWERS.COM INC,Thomas Jefferson Foundation Inc,Jeff Walker,2001,2002,Independent Director (Brd) (SD),Director - SD,Charities,6,1092946,33553,Independent Director,Brd,SD,2001,2002,1995-02-01,2012-01-12,,,Quoted
NFP,1-800-FLOWERS.COM INC,New Profit Inc,Jeff Walker,2009,2012,Independent Director (Brd) (SD),Director - SD,Charities,6,94337,33553,Independent Director,Brd,SD,2009,2012,1995-02-01,2012-01-12,,,Quoted
Other,1-800-FLOWERS.COM INC,Secretary-General's Special Envoy for Health Millennium Development Goal Financing and Malaria (The),Jeff Walker,2011,2012,Independent Director (Brd) (SD),Vice Chairman,Private,6,1964459,33553,Independent Director,Brd,SD,2011,2012,1995-02-01,2012-01-12,,,Quoted
Other,1-800-FLOWERS.COM INC,MIT Media Lab Massachusetts Institute of Technology,Jeff Walker,2010,2012,Independent Director (Brd) (SD),Advisory Council Member,Private,6,1570086,33553,Independent Director,Brd,SD,2010,2012,1995-02-01,2012-01-12,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Harbor Point Ltd,Jeff Walker,2005,2010,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,6,860608,33553,Independent Director,Brd,SD,2005,2010,1995-02-01,2012-01-12,2005-12-01,2010-05-12,Quoted
Listed Org,1-800-FLOWERS.COM INC,CHASE MANHATTAN CORP (De-listed 12/2000),Jeff Walker,1995,2000,Independent Director (Brd) (SD),Managing Partner (Non-Brd),Quoted,6,6538,33553,Independent Director,Brd,SD,1995,2000,1995-02-01,2012-01-12,1984-01-01,2000-12-31,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,DesignPac Gifts LLC,Steve Druckman,2019,2021,Division President (Non-Brd),Division President (Non-Brd),Private,6,3092253,1947759,Division President,Non-Brd,,2019,2021,2017-05-01,2021-04-01,2019-10-01,2021-04-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Sbktm Holdings Inc,Sean Hegarty,2015,2020,Independent Director (Brd) (SD),CFO (Non-Brd),Private,6,2635677,1366174,Independent Director,Brd,SD,2015,2020,2014-01-16,2020-12-09,2015-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Hegarty & Co,Sean Hegarty,2014,2020,Independent Director (Brd) (SD),Managing Partner (Brd) (ED),Private,6,2036307,1366174,Independent Director,Brd,SD,2014,2020,2014-01-16,2020-12-09,2011-09-01,,Quoted
NFP,1-800-FLOWERS.COM INC,Center for Communications,Katherine Oliver,2017,2023,Independent Director (Brd) (SD),Director - SD,Charities,6,632792,1391443,Independent Director,Brd,SD,2017,2023,2017-02-02,2023-12-14,,,Quoted
Listed Org,1-800-FLOWERS.COM INC,CHEFS' WAREHOUSE INC,Katherine Oliver,2017,2023,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,6,1715277,1391443,Independent Director,Brd,SD,2017,2023,2017-02-02,2023-12-14,2015-11-03,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Pivotal Investment Corp III,Katherine Oliver,2023,2023,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Private,6,3619137,1391443,Independent Director,Brd,SD,2023,2023,2017-02-02,2023-12-14,2023-02-28,2023-08-07,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,NYC & Co Inc,Katherine Oliver,2017,2018,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,6,113386,1391443,Independent Director,Brd,SD,2017,2018,2017-02-02,2023-12-14,,2018-01-01,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Bloomberg Associates Inc,Katherine Oliver,2017,2023,Independent Director (Brd) (SD),Principal (Non-Brd),Private,6,1957659,1391443,Independent Director,Brd,SD,2017,2023,2017-02-02,2023-12-14,2014-01-01,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,New York Television Festival (NYTVF),Katherine Oliver,2017,2023,Independent Director (Brd) (SD),Director - ED (Brd) (ED),Private,6,2005621,1391443,Independent Director,Brd,SD,2017,2023,2017-02-02,2023-12-14,2008-01-01,,Quoted
Other,1-800-FLOWERS.COM INC,Independent Filmmaker Project (IFP),Katherine Oliver,2017,2023,Independent Director (Brd) (SD),Director - SD,Clubs,6,1749698,1391443,Independent Director,Brd,SD,2017,2023,2017-02-02,2023-12-14,,,Quoted
Other,1-800-FLOWERS.COM INC,Women's Forum Inc,Katherine Oliver,2017,2023,Independent Director (Brd) (SD),Member,Private,6,851914,1391443,Independent Director,Brd,SD,2017,2023,2017-02-02,2023-12-14,,,Quoted
Unlisted Org,1-800-FLOWERS.COM INC,Compound (Metamorphic Ventures prior to 10/2016),Katherine Oliver,2017,2023,Independent Director (Brd) (SD),Advisor (Non-Brd),Private,6,1450834,1391443,Independent Director,Brd,SD,2017,2023,2017-02-02,2023-12-14,,,Quoted
Other,1-800-FLOWERS.COM INC,NBCUniversal Media LLC,Katherine Oliver,2017,2019,Independent Director (Brd) (SD),Advisory Board Member,Private,6,586068,1391443,Independent Director,Brd,SD,2017,2019,2017-02-02,2023-12-14,,,Quoted
Other,1-800-FLOWERS.COM INC,Springboard Enterprises Inc,Katherine Oliver,2017,2023,Independent Director (Brd) (SD),Council Member,Private,6,2617110,1391443,Independent Director,Brd,SD,2017,2023,2017-02-02,2023-12-14,,,Quoted
